family,experiment,fold,outer_val_season,train_n,val_n,feature_count,selected_iterations,fit_seconds,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias,changed_team_n,changed_team_mae,changed_team_bias,same_team_n,same_team_mae,same_team_bias
Transfer_2017plus,T0_Exp9Cb,2,2021-2022,4086,778,19,212,11.390351600013673,2.481577306193218,3.527740113733547,0.41021499986336163,0.10706899024795129,76,6.568650503114043,-5.759497787109303,29,8.969479745518656,-8.416292167222513,10,12.276723662693467,-11.010856249593575,99,3.0197620231090783,0.08796850558099382,679,2.4031085477621867,0.10985389154696273
Transfer_2017plus,T1_plus_transfer_state,2,2021-2022,4086,778,25,262,12.338915599975735,2.4795514299172394,3.539963288932962,0.40612085779449936,0.09987033419822738,76,6.598151936838099,-5.823149538520684,29,8.91077648536453,-8.430215960871216,10,12.038731641639954,-11.241306421305127,99,3.048714068653698,0.0754201192926387,679,2.396566008363617,0.10343524034793766
Transfer_2017plus,T2_plus_state_economics,2,2021-2022,4086,778,28,221,10.448937100009061,2.4833892946392653,3.5553678642563873,0.40094093894610927,0.10466376011659007,76,6.583591523766202,-5.884149288715355,29,9.018615284413807,-8.661603132389867,10,12.404114520876284,-12.089492277416367,99,3.059045547381567,0.0006556899746129866,679,2.3994570869492984,0.11982841246424208
Transfer_2017plus,T3_plus_state_new_team,2,2021-2022,4086,778,32,327,15.939538300037384,2.4787326220174455,3.5323185679245053,0.40868310930219787,0.10085670441113558,76,6.5594739601786864,-5.781317858620511,29,8.952688433302287,-8.431837689738114,10,11.935979837122407,-11.420241106051167,99,2.960659539207131,-0.02842295833351403,679,2.4084663999235145,0.11970602195416982
Transfer_2017plus,T4_all_transfer_context,2,2021-2022,4086,778,35,267,13.215032599982806,2.4774100059094706,3.5471583285577024,0.40370426413514227,0.10348877938380652,76,6.559628226396794,-5.809075069360299,29,8.868020182090488,-8.516659795669037,10,11.866901227513443,-11.629666648694371,99,2.9646556894050784,-0.06159977655761772,679,2.4063682935883146,0.1275591284827771
Transfer_2017plus,T0_Exp9Cb,3,2022-2023,4864,738,19,165,8.129487800004426,2.3352565348925176,3.4079253626628025,0.46578558186667285,-0.06788261079373685,78,6.645774406193626,-6.512820839697436,31,8.298841884761986,-8.014403353935556,8,12.00787596052238,-11.536137228502293,103,2.4216996492836818,0.30047791748916775,635,2.321235053345604,-0.12763242876718434
Transfer_2017plus,T1_plus_transfer_state,3,2022-2023,4864,738,25,141,7.147674400010146,2.3421628648973156,3.422735957349182,0.4611321784390734,-0.06777837962126881,78,6.727657674795675,-6.624963966672207,31,8.359171548821712,-8.167637831151447,8,12.194737213874344,-12.00683311524839,103,2.4459138260433515,0.28639299611429847,635,2.325333968837408,-0.12522665001617184
Transfer_2017plus,T2_plus_state_economics,3,2022-2023,4864,738,28,186,9.879074199998286,2.3306818271130987,3.4044631738425144,0.46687047163909046,-0.06433589021407828,78,6.616826381097303,-6.510404296566106,31,8.317507563217676,-8.049735866655306,8,12.148902846882711,-11.632817927379337,103,2.4187355417206544,0.25830753965855713,635,2.316399098601951,-0.11667017883908842
Transfer_2017plus,T3_plus_state_new_team,3,2022-2023,4864,738,32,173,8.242113499960396,2.3178299206345994,3.39993075641521,0.4682890548156896,-0.057963476170552065,78,6.595636740022846,-6.4584603138003205,31,8.203487482139048,-7.912945808630662,8,12.170249228247643,-11.649283042666482,103,2.37358964306846,0.23226688208121923,635,2.308785430224068,-0.10504021144603624
Transfer_2017plus,T4_all_transfer_context,3,2022-2023,4864,738,35,261,13.859577699971851,2.325075660522593,3.3916405432810888,0.4708788857635119,-0.053123080013759205,78,6.529266098719458,-6.330504246213879,31,8.152580410165053,-7.69605847279302,8,11.825214321599038,-10.855447801368879,103,2.387824750155374,0.24907060658220057,635,2.314897461731764,-0.10214032366633216
Transfer_2017plus,T0_Exp9Cb,4,2023-2024,5602,769,19,273,14.220393700001296,2.4416109136434803,3.48712341975767,0.46233555215498445,-0.13348749506737895,87,6.575860518620003,-6.203863272608456,32,9.187103979790722,-8.822867247083183,16,10.770843094705828,-10.042369629290755,97,3.1707286880590813,-0.697328890978944,672,2.3363662348959897,-0.05209967452657266
Transfer_2017plus,T1_plus_transfer_state,4,2023-2024,5602,769,25,284,14.823375200037844,2.4380364594827815,3.4941926027211414,0.4601534091770937,-0.1368595417633096,87,6.59390609103428,-6.202723077661788,32,9.16998618926273,-8.869056895299796,16,10.763213898080718,-10.16135531015485,97,3.172987369906462,-0.816228250477631,672,2.3319497953293635,-0.03879590374948646
Transfer_2017plus,T2_plus_state_economics,4,2023-2024,5602,769,28,249,12.476066000002902,2.4422586086519606,3.496146562903478,0.45954947356330544,-0.14710031765374496,87,6.653551104580052,-6.263769356757071,32,9.210170127756424,-8.85959583738681,16,10.807261499823635,-10.106112919084406,97,3.186417423779146,-0.7410706845028402,672,2.334842827301757,-0.0613635236293963
Transfer_2017plus,T3_plus_state_new_team,4,2023-2024,5602,769,32,262,13.58707539999159,2.4441002652983324,3.509103759616766,0.45553608328686856,-0.14088549252224958,87,6.661049908888212,-6.2820794930693316,32,9.150140333237468,-8.891623071603796,16,10.743501635068634,-10.226467111801286,97,3.241749162612515,-0.8665157633883481,672,2.328963445299112,-0.0361442183049705
Transfer_2017plus,T4_all_transfer_context,4,2023-2024,5602,769,35,282,13.499685599992517,2.449362722743783,3.5121159155374615,0.45460096469170574,-0.14090263900315872,87,6.693819733705095,-6.246325716872702,32,9.368611038960585,-8.917010653745814,16,11.096553487502286,-10.193352717072745,97,3.2266651195993097,-0.8608775898453509,672,2.337162823197673,-0.03697768330123508
Combined_2017plus,C0_Exp9Cb,1,2020-2021,3252,834,19,259,12.104388100036886,2.336791173433272,3.3553442366058612,0.4836056366162752,0.048044823276605426,92,5.992418506142789,-5.3813191068533275,31,8.231459809312907,-7.687889902838068,13,9.336743486953424,-9.336743486953424,55,2.4142589068050433,0.736598782431795,779,2.3313216928999636,-0.0005693843659304288
