threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp,model,fold,outer_val_season
0.31,0.8807439824945296,0.5807952622673435,0.606574338439424,0.84,0.16666666666666666,0.2781456953642384,0.8818897637795275,0.9949238578680203,0.9350029815146095,21,105,4,784,Logistic_ModelA,1,2020-2021
0.32,0.8829321663019694,0.5887317702038514,0.6183864988781582,0.8518518518518519,0.18253968253968253,0.3006535947712418,0.8838782412626832,0.9949238578680203,0.9361194029850747,23,103,4,784,Logistic_ModelA,1,2020-2021
0.33,0.8818380743982495,0.5914309886391105,0.6215495031284506,0.8,0.19047619047619047,0.3076923076923077,0.8846153846153846,0.9923857868020305,0.9354066985645934,24,102,6,782,Logistic_ModelA,1,2020-2021
0.34,0.8829321663019694,0.5953992426073644,0.6272189123565354,0.8064516129032258,0.1984126984126984,0.3184713375796178,0.8856172140430351,0.9923857868020305,0.935966487133453,25,101,6,782,Logistic_ModelA,1,2020-2021
0.35,0.8851203501094091,0.6033357505438723,0.6383553591010321,0.8181818181818182,0.21428571428571427,0.33962264150943394,0.887627695800227,0.9923857868020305,0.9370880766926303,27,99,6,782,Logistic_ModelA,1,2020-2021
0.36,0.8862144420131292,0.6106377407138829,0.6477998606850147,0.8055555555555556,0.23015873015873015,0.35802469135802467,0.8895216400911162,0.9911167512690355,0.9375750300120048,29,97,7,781,Logistic_ModelA,1,2020-2021
0.37,0.887308533916849,0.6146059946821368,0.6531181488236704,0.8108108108108109,0.23809523809523808,0.36809815950920244,0.8905359179019384,0.9911167512690355,0.9381381381381382,30,96,7,781,Logistic_ModelA,1,2020-2021
0.38,0.887308533916849,0.6179397308838933,0.6569106579930393,0.7948717948717948,0.24603174603174602,0.37575757575757573,0.8914285714285715,0.9898477157360406,0.9380637402285027,31,95,8,780,Logistic_ModelA,1,2020-2021
0.39,0.887308533916849,0.6212734670856499,0.6606113480444289,0.7804878048780488,0.25396825396825395,0.38323353293413176,0.8923253150057274,0.9885786802030457,0.937989163154726,32,94,9,779,Logistic_ModelA,1,2020-2021
0.4,0.888402625820569,0.6252417210539039,0.6657056798623063,0.7857142857142857,0.2619047619047619,0.39285714285714285,0.893348623853211,0.9885786802030457,0.9385542168674699,33,93,9,779,Logistic_ModelA,1,2020-2021
0.41,0.8905908096280087,0.6365119651921682,0.6791090888664195,0.782608695652174,0.2857142857142857,0.4186046511627907,0.8963133640552995,0.9873096446700508,0.9396135265700483,36,90,10,778,Logistic_ModelA,1,2020-2021
0.42,0.8916849015317286,0.6438139553621787,0.6871973036038372,0.7755102040816326,0.30158730158730157,0.4342857142857143,0.8982658959537573,0.9860406091370558,0.9401088929219601,38,88,11,777,Logistic_ModelA,1,2020-2021
0.43,0.8927789934354485,0.6544496817339457,0.6980447680690399,0.7592592592592593,0.3253968253968254,0.45555555555555555,0.9011627906976745,0.983502538071066,0.9405339805825242,41,85,13,775,Logistic_ModelA,1,2020-2021
0.44,0.8938730853391685,0.6584179357021996,0.7025967186278752,0.7636363636363637,0.3333333333333333,0.46408839779005523,0.9022118742724098,0.983502538071066,0.9411050394656952,42,84,13,775,Logistic_ModelA,1,2020-2021
0.45,0.8949671772428884,0.6690536620739667,0.7127028407528191,0.75,0.35714285714285715,0.4838709677419355,0.905152224824356,0.9809644670050761,0.9415347137637028,45,81,15,773,Logistic_ModelA,1,2020-2021
0.46,0.8960612691466083,0.6763556522439771,0.7196961626491828,0.746031746031746,0.373015873015873,0.4973544973544973,0.9071680376028202,0.9796954314720813,0.9420378279438683,47,79,16,772,Logistic_ModelA,1,2020-2021
0.47,0.8982494529540481,0.6876258963822416,0.7306269905404763,0.746268656716418,0.3968253968253968,0.5181347150259067,0.910271546635183,0.9784263959390863,0.9431192660550459,50,76,17,771,Logistic_ModelA,1,2020-2021
0.48,0.8971553610503282,0.6903251148175006,0.7314050620248099,0.7285714285714285,0.40476190476190477,0.5204081632653061,0.9111374407582938,0.9758883248730964,0.9424019607843137,51,75,19,769,Logistic_ModelA,1,2020-2021
0.49,0.8960612691466083,0.6896905970510032,0.7297600114532208,0.7183098591549296,0.40476190476190477,0.5177664974619289,0.9110320284697508,0.9746192893401016,0.9417535254445125,51,75,20,768,Logistic_ModelA,1,2020-2021
0.5,0.8982494529540481,0.7076283135927806,0.7445200847572246,0.7088607594936709,0.4444444444444444,0.5463414634146342,0.9161676646706587,0.9708121827411168,0.9426987060998152,56,70,23,765,Logistic_ModelA,1,2020-2021
0.51,0.8982494529540481,0.7176295221980501,0.7508638957521828,0.6941176470588235,0.46825396825396826,0.5592417061611374,0.9191797346200241,0.9670050761421319,0.9424860853432282,59,67,26,762,Logistic_ModelA,1,2020-2021
0.52,0.899343544857768,0.7282652485698171,0.7585010568881536,0.6888888888888889,0.49206349206349204,0.5740740740740741,0.9223300970873787,0.9644670050761421,0.9429280397022333,62,64,28,760,Logistic_ModelA,1,2020-2021
0.53,0.9004376367614879,0.7389009749415841,0.76580401918079,0.6842105263157895,0.5158730158730159,0.5882352941176471,0.9255189255189256,0.9619289340101523,0.9433727442439328,65,61,30,758,Logistic_ModelA,1,2020-2021
0.54,0.9037199124726477,0.7541394730481026,0.7778440665981682,0.69,0.5476190476190477,0.6106194690265486,0.9299754299754299,0.9606598984771574,0.9450686641697877,69,57,31,757,Logistic_ModelA,1,2020-2021
0.55,0.9026258205689278,0.7568386914833616,0.7778469622116443,0.6796116504854369,0.5555555555555556,0.611353711790393,0.9309494451294698,0.9581218274111675,0.9443402126328956,70,56,33,755,Logistic_ModelA,1,2020-2021
0.56,0.9004376367614879,0.7555696559503666,0.7745393825544107,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.930778739184178,0.9555837563451777,0.9430181590482154,70,56,35,753,Logistic_ModelA,1,2020-2021
0.57,0.9015317286652079,0.7595379099186206,0.7778389940368162,0.6698113207547169,0.5634920634920635,0.6120689655172413,0.931930693069307,0.9555837563451777,0.943609022556391,71,55,35,753,Logistic_ModelA,1,2020-2021
