model,experiment,fold,outer_val_season,train_n,val_n,numeric_feature_count,selected_rounds,fit_seconds,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias,changed_team_n,changed_team_mae,changed_team_bias,same_team_n,same_team_mae,same_team_bias,input_dim,calibration_mae,architecture,dropout,learning_rate,weight_decay,batch_size
Fixed_CatBoost,S0_Exp9Cb,3,2022-2023,4864,738,17,165,8.357508299988694,2.3352565348925176,3.4079253626628025,0.46578558186667285,-0.06788261079373685,78,6.645774406193626,-6.512820839697436,31,8.298841884761986,-8.014403353935556,8,12.00787596052238,-11.536137228502293,103,2.4216996492836818,0.30047791748916775,635,2.321235053345604,-0.12763242876718434,,,,,,,
Fixed_CatBoost,S1_market,3,2022-2023,4864,738,24,190,10.245599400019273,2.312542993632931,3.377981226921203,0.47513221326513444,-0.06142278010445687,78,6.5266282125724455,-6.437149590101521,31,8.17759096132551,-7.9785942379055745,8,11.424842116239804,-10.962622683993224,103,2.3987812423182784,0.304713634305173,635,2.2985547422713712,-0.12081183630003461,,,,,,,
Fixed_CatBoost,S2_transfer_new_team,3,2022-2023,4864,738,30,173,8.501938300032634,2.3178299206345994,3.39993075641521,0.4682890548156896,-0.057963476170552065,78,6.595636740022846,-6.4584603138003205,31,8.203487482139048,-7.912945808630662,8,12.170249228247643,-11.649283042666482,103,2.37358964306846,0.23226688208121923,635,2.308785430224068,-0.10504021144603624,,,,,,,
Fixed_CatBoost,S3_selected_no_economics,3,2022-2023,4864,738,37,172,11.895034099987242,2.306137180501758,3.3576419834047684,0.4814337726989828,-0.04565661743575065,78,6.52859006811344,-6.434230484556675,31,8.210313012058759,-7.986943755358635,8,11.488296585176991,-10.909862923667287,103,2.3913018436476436,0.26677265842741127,635,2.292323069786756,-0.09633412202457851,,,,,,,
Fixed_CatBoost,S4_all_with_economics,3,2022-2023,4864,738,40,207,16.776838599995244,2.311674094032337,3.387568210764187,0.4721487511789262,-0.05586975927033446,78,6.549192625079138,-6.42171602399516,31,8.325167952729192,-8.004420375808213,8,11.79017722419172,-10.949762146417575,103,2.413156316299076,0.23066615800226645,635,2.2952131981371022,-0.10234723876494535,,,,,,,
Fixed_CatBoost,S0_Exp9Cb,4,2023-2024,5602,769,17,273,18.30639019998489,2.4416109136434803,3.48712341975767,0.46233555215498445,-0.13348749506737895,87,6.575860518620003,-6.203863272608456,32,9.187103979790722,-8.822867247083183,16,10.770843094705828,-10.042369629290755,97,3.1707286880590813,-0.697328890978944,672,2.3363662348959897,-0.05209967452657266,,,,,,,
Fixed_CatBoost,S1_market,4,2023-2024,5602,769,24,190,10.036939900019206,2.4407459114582686,3.4846433045181944,0.46310007662661323,-0.1181625755179238,87,6.650073838687077,-6.221302949083585,32,9.221914349616135,-8.93618633300587,16,10.94302759543621,-10.37157156221568,97,3.159262774115577,-0.71372135206634,672,2.3370314238425562,-0.03219650211733407,,,,,,,
Fixed_CatBoost,S2_transfer_new_team,4,2023-2024,5602,769,30,262,14.523115999996662,2.4441002652983324,3.509103759616766,0.45553608328686856,-0.14088549252224958,87,6.661049908888212,-6.2820794930693316,32,9.150140333237468,-8.891623071603796,16,10.743501635068634,-10.226467111801286,97,3.241749162612515,-0.8665157633883481,672,2.328963445299112,-0.0361442183049705,,,,,,,
Fixed_CatBoost,S3_selected_no_economics,4,2023-2024,5602,769,37,244,12.059161400015,2.4421263597964233,3.493876100995964,0.4602512026638589,-0.13883764234707038,87,6.732057169498332,-6.224606229573846,32,9.389197761185063,-8.981353860918116,16,11.00932970764877,-10.193641907114875,97,3.190433377563478,-0.8636928287873195,672,2.3341118051485004,-0.034208247875784456,,,,,,,
Fixed_CatBoost,S4_all_with_economics,4,2023-2024,5602,769,40,308,14.733203099982347,2.441971358328781,3.499429678476594,0.45853395854983925,-0.11589748682329247,87,6.653395113284011,-6.158581423856922,32,9.330935374485488,-8.880682506967604,16,11.052141382737132,-10.156971231903082,97,3.205201331237584,-0.7781824941512993,672,2.3318027461678374,-0.020299799753624767,,,,,,,
Frozen_07_Tuned_MLP,S0_Exp9Cb,1,2020-2021,3252,834,17,12,4.416469099989627,2.3447358943789984,3.5194857146964793,0.43184642790646843,-0.7659989591482446,92,7.624581072641456,-7.57815743010977,31,10.88170100027515,-10.88170100027515,13,13.454594795520489,-13.454594795520489,55,1.8917466976425865,0.13768000277605924,779,2.3767184435709146,-0.8298017099901402,24.0,2.344179630279541,256_128_64,0.1523373539456242,0.0014981723596616,0.0004072257787123,32.0
Frozen_07_Tuned_MLP,S3_selected_no_economics,1,2020-2021,3252,834,37,3,1.069646499992814,2.3504999377530256,3.3596012437747533,0.4822944811182115,-0.05418510291930869,92,6.044945874939794,-5.51345733196839,31,8.203904405716926,-7.944688220177928,13,9.522001156440147,-9.522001156440147,55,2.563343550942161,1.1876281998374245,779,2.3354724682724064,-0.1418612667853168,44.0,2.3534507751464844,256_128_64,0.1523373539456242,0.0014981723596616,0.0004072257787123,32.0
Frozen_07_Tuned_MLP,S0_Exp9Cb,2,2021-2022,4086,778,17,5,1.2340660999761894,2.3971078710721514,3.583593784493493,0.3913913711791692,-0.6489398837242764,76,7.933671187413366,-7.744330018758774,29,10.883091679934797,-10.883091679934797,10,14.739019203186036,-14.739019203186036,99,2.820361183147238,-0.7057347490329935,679,2.3353964161451506,-0.6406590418015032,24.0,2.317105293273926,256_128_64,0.0233668962175098,0.0027259155172982,1.2196061876085765e-06,128.0
Frozen_07_Tuned_MLP,S3_selected_no_economics,2,2021-2022,4086,778,37,4,0.7926608000416309,2.5370653753760233,3.613011727899527,0.3813581459527019,0.24769809939790813,76,6.421288372654664,-5.685703586590917,29,8.266290541352896,-8.200979372550702,10,11.604927229881287,-11.604927229881287,99,3.0308724677923955,-0.11721467851388334,679,2.465066992240205,0.3009033497856362,44.0,2.3212392330169678,256_128_64,0.0233668962175098,0.0027259155172982,1.2196061876085765e-06,128.0
Frozen_07_Tuned_MLP,S0_Exp9Cb,3,2022-2023,4864,738,17,19,5.4781884999829344,2.3134289974281135,3.3796635622401974,0.4746092834812474,-0.0008856885963016086,78,6.196802909557636,-6.0426501127389765,31,7.976939447464481,-7.709075466279061,8,10.941641926765442,-10.707021832466125,103,2.334403977232072,0.39962402651610884,635,2.3100267566095187,-0.06585025655941701,24.0,2.3918418884277344,256_128_64,0.0648846844358834,0.0010203339829786,0.0005091037041881,128.0
Frozen_07_Tuned_MLP,S3_selected_no_economics,3,2022-2023,4864,738,37,20,5.876091499987524,2.394075414675684,3.5195800907856474,0.4302069330586441,-0.37890511831940027,78,7.2202781438827515,-7.177459096297239,31,9.405640994348834,-9.348125080908499,8,12.771297335624695,-12.771297335624695,103,2.461009969989073,-0.226981308853742,635,2.383218313577607,-0.403547877965011,44.0,2.4201927185058594,256_128_64,0.0648846844358834,0.0010203339829786,0.0005091037041881,128.0
Frozen_07_Tuned_MLP,S0_Exp9Cb,4,2023-2024,5602,769,17,18,13.533174799988046,2.4400848224662215,3.5893304229279144,0.4303559529960259,-0.492831679717462,87,7.3584456402679965,-7.125928332065714,32,10.34806203842163,-10.201809406280518,16,11.872339755296707,-11.57983449101448,97,3.191972527921814,-1.2338426352776204,672,2.3315534126013517,-0.38587027690595105,24.0,2.271765947341919,256_128_64,0.1778447890913186,0.0028267525438625,8.318308206340892e-05,128.0
Frozen_07_Tuned_MLP,S3_selected_no_economics,4,2023-2024,5602,769,37,7,1.8080270999926142,2.521008240541029,3.5907098421587116,0.42991802789462596,0.20633591988616864,87,5.998690117364642,-5.113217370263461,32,8.188176825642586,-7.522264912724495,16,9.792621731758118,-8.687804579734802,97,3.196455745967393,-0.36845451839191395,672,2.423510609549426,0.28930418255428475,44.0,2.2884180545806885,256_128_64,0.1778447890913186,0.0028267525438625,8.318308206340892e-05,128.0
