number,value,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,state,user_attrs_inner_mae_std,user_attrs_inner_maes,outer_fold,outer_val_season
3,2.4214645217370996,1.4598196845307594,4,5.448674066106132,0.13840299724396002,0.06481750971048783,COMPLETE,0.062317798508056244,"[2.4474942313234833, 2.335531200966678, 2.481368132921138]",3,2022-2023
4,2.4084570672277437,1.8735425683393465,7,0.6227788538614699,0.03848243113235904,0.2798196625513979,COMPLETE,0.06244765856604256,"[2.441598807390763, 2.320993433871011, 2.462778960421456]",3,2022-2023
5,2.4622354448649233,1.0871160892383394,6,0.17454609647456312,0.07713278768104695,0.004550258185916355,PRUNED,,,3,2022-2023
6,2.4652122127022094,0.5785719406900149,7,4.248498630544682,0.018737456446894146,0.23137910403412185,PRUNED,,,3,2022-2023
7,2.447560060108213,1.065966756465315,5,10.736358767647047,0.05885640348474968,0.7302621598117415,PRUNED,,,3,2022-2023
8,2.4474015848827877,0.6055811114818497,4,0.018538639059657636,0.02334137360027704,0.09214163543054199,PRUNED,,,3,2022-2023
9,2.456739596878459,0.3149482458341786,6,15.803641842561598,0.09071594101754456,0.09696995604811115,PRUNED,,,3,2022-2023
10,2.39988330527299,0.20081366684287838,5,0.013865717104807017,0.010027317313954806,3.688842910266289,PRUNED,,,3,2022-2023
11,2.453175314932585,1.9674360808540192,8,0.15093286315065585,0.03439247724993188,0.001208982077030682,PRUNED,,,3,2022-2023
12,2.401154663319755,1.970467424367437,6,0.16576439739399348,0.03506817295006222,0.012033738407525573,COMPLETE,0.05188187416457638,"[2.420877545661251, 2.330089878822429, 2.4524965654755864]",3,2022-2023
13,2.443673846199064,1.6045996657725017,5,0.06138080013322687,0.011432186011212602,0.010324137133048816,PRUNED,,,3,2022-2023
14,2.406530277023859,1.7301397135447982,6,0.05187377001439246,0.03260554860074169,0.0024415219542867853,COMPLETE,0.05255372972863594,"[2.431655231562722, 2.3333922745222777, 2.4545433249865773]",3,2022-2023
0,2.3710597182532265,1.1044171437377166,7,6.8746962077143765,0.04299319633203141,0.28691542320039487,COMPLETE,0.06093719127168592,"[2.3388036708530495, 2.456395201628636, 2.317980282277994]",4,2023-2024
1,2.3790577987997277,0.3671790657819842,6,1.4187548886332273,0.13186879322049488,0.47662580340148125,COMPLETE,0.06649423140782383,"[2.351197082454938, 2.470770285892217, 2.3152060280520277]",4,2023-2024
2,2.3711908716544237,0.6171181768161942,5,14.424348260290694,0.14296944890844038,0.1389442524402147,COMPLETE,0.0447820393964134,"[2.347230982894328, 2.4339407813358753, 2.3324008507330674]",4,2023-2024
3,2.3796249407941255,0.7633826153653365,8,7.514798621927339,0.11211447552021987,0.16932875456218882,COMPLETE,0.05949733240239806,"[2.342143683759717, 2.4636056288824446, 2.333125509740215]",4,2023-2024
4,2.365552980517824,1.9493409639983978,7,0.20103326094554796,0.04108921251562006,2.0796108531613506,COMPLETE,0.06731690009354353,"[2.3358890597211657, 2.4587264140292704, 2.3020434678030344]",4,2023-2024
5,2.3432571426537825,1.0920494523687392,5,6.935896943806514,0.013119908661890166,0.0014626810816408618,PRUNED,,,4,2023-2024
6,2.3476009275614924,1.704826633285652,5,0.03190409891818039,0.0730633301011996,0.0024078762063179846,PRUNED,,,4,2023-2024
7,2.3481270364572953,0.5893198654509513,7,0.6941343053664986,0.010101872969986802,0.001446232753685373,PRUNED,,,4,2023-2024
8,2.3466873598694513,0.13174842647010188,5,0.07077849516751762,0.06678174273533262,0.03228891638059613,PRUNED,,,4,2023-2024
9,2.3447395311760633,1.762612716764487,4,0.0686568406809845,0.08928077167108806,0.3449164744493141,PRUNED,,,4,2023-2024
10,2.3698517077999064,1.9624336675931442,8,0.01245592705884425,0.025710462073984003,3.5749458143011053,COMPLETE,0.06959743913964957,"[2.33438382128144, 2.467098084499644, 2.308073217618634]",4,2023-2024
