model,fold,outer_val_season,target_season,train_n,val_n,fit_seconds,mae,rmse,r2,bias,input_dim,selected_rounds,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias
XGBoost,2,2021-2022,2022-2023,17118,778,0.6130271999863908,2.49029548159755,3.4939574352375,0.42145682317230326,0.16611755710181356,24,116.0,76,6.583165377378464,-5.788401059414211,29,8.872024018189002,-8.331586122512817,10,11.362364053726196,-11.045280694961548
CatBoost,2,2021-2022,2022-2023,17118,778,19.415742499986663,2.458011628408102,3.4612065914433097,0.4322520165501891,0.20154479085985125,19,378.0,76,6.251169878902672,-5.455955148767148,29,8.368626058019549,-7.770544564134535,10,11.077401028315546,-9.788970026017534
Naive_current_goals,3,2022-2023,2023-2024,17896,738,0.0,2.7574525745257454,3.957942856221718,0.2794327901474043,0.7466124661246613,1,,78,5.5256410256410255,-3.8333333333333335,31,6.387096774193548,-3.6129032258064515,8,7.625,-4.875
ElasticNet,3,2022-2023,2023-2024,17896,738,1.378377500048373,2.363695091935824,3.396003046260484,0.4695168446331326,0.049539926068503846,24,,78,6.318770920685728,-6.220451736905736,31,8.030394859894775,-7.89158610677847,8,12.025484588934336,-12.025484588934336
RandomForest,3,2022-2023,2023-2024,17896,738,2.965491400042083,2.3812533331001866,3.422627743565931,0.4611662517678692,0.0639095292576405,24,,78,6.317872179515238,-6.146087616771412,31,7.936836374752864,-7.521771107818329,8,11.474069663386683,-10.67848708715444
Baseline_MLP,3,2022-2023,2023-2024,17896,738,11.987141399993561,2.3604085463172373,3.3801573387172157,0.4744557507265137,0.1464445906360621,24,21.0,78,6.043117993917221,-5.941598018010457,31,7.946683560648272,-7.714250979884978,8,11.099370777606964,-10.985128700733185
XGBoost,3,2022-2023,2023-2024,17896,738,0.6373359999852255,2.3717969815097852,3.419378286762992,0.4621889080168605,-0.027157740945092386,24,84.0,78,6.830478128714439,-6.7061655811774425,31,8.774326539808705,-8.461540129876905,8,12.337430357933044,-11.593580603599548
CatBoost,3,2022-2023,2023-2024,17896,738,18.12893190002069,2.31195541205576,3.351119390480179,0.4834465608885844,0.002215126387689806,19,351.0,78,6.313387065647212,-6.089573074234847,31,7.935912154753518,-7.455173070666127,8,11.33326221372365,-9.91623059577606
Naive_current_goals,4,2023-2024,2024-2025,18634,769,0.0,2.811443433029909,3.9617810026065023,0.30600296744868494,0.5669700910273082,1,,87,5.64367816091954,-3.3908045977011496,32,7.5,-4.875,16,9.0,-5.875
ElasticNet,4,2023-2024,2024-2025,18634,769,1.436414199997671,2.478091364092947,3.4991263020226713,0.45862783723420353,-0.01665463477476838,24,,87,6.350402666187916,-6.076731399010757,32,8.881330338188832,-8.881330338188832,16,10.539747462959589,-10.539747462959589
RandomForest,4,2023-2024,2024-2025,18634,769,2.9878119999775663,2.4441020691237503,3.459090972349481,0.47094520980470445,0.04549770942137641,24,,87,6.341316148521495,-5.795818444118616,32,8.737048520345397,-8.360836010199291,16,10.386841557314213,-9.720365738861833
Baseline_MLP,4,2023-2024,2024-2025,18634,769,6.278618999989703,2.4643467690102923,3.524135998943728,0.4508613613067808,-0.12655380529064506,24,10.0,87,6.756019070230681,-6.390882386558357,32,9.398019790649414,-9.286480784416199,16,11.020245611667633,-10.797167599201202
XGBoost,4,2023-2024,2024-2025,18634,769,1.2929895999841392,2.473052821520556,3.518795639020522,0.4525243936062834,0.015735272274525796,24,210.0,87,6.479730012773097,-5.732109901548802,32,8.791247591376305,-8.162524804472923,16,10.238995522260666,-9.223262518644333
CatBoost,4,2023-2024,2024-2025,18634,769,15.33175549999578,2.4580749713675942,3.487326190583783,0.46227302162716155,0.0019123154955789114,19,293.0,87,6.399071106421344,-5.766859347930319,32,8.796774129940037,-8.250248764979686,16,10.361436507298862,-9.375322993245058
