number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_inner_mae_std,user_attrs_inner_maes,state,outer_fold,outer_val_season
11,2.356636826793624,2026-08-10 05:35:47.918806,2026-08-10 05:36:17.723756,0 days 00:00:29.804950,0.5241199533802438,7,0.023148874223999263,0.01024419238512907,0.018564109359862097,,,PRUNED,1,2020-2021
12,2.351929944993226,2026-08-10 05:36:17.728756,2026-08-10 05:36:34.365689,0 days 00:00:16.636933,1.435565643696379,7,0.07114678452755681,0.025099798738339583,2.3619104853425177,,,PRUNED,1,2020-2021
13,2.3477378837937892,2026-08-10 05:36:34.367671,2026-08-10 05:36:42.428464,0 days 00:00:08.060793,0.30274372066512206,8,0.09824505939754301,0.08445003395837679,0.040803606411581386,,,PRUNED,1,2020-2021
14,2.359213826151014,2026-08-10 05:36:42.429460,2026-08-10 05:36:57.420410,0 days 00:00:14.990950,0.7954049460029597,7,0.03614863243915758,0.027126632895719906,0.5399054810999002,,,PRUNED,1,2020-2021
0,2.3531402672844446,2026-08-10 05:37:47.108669,2026-08-10 05:38:33.628994,0 days 00:00:46.520325,1.8281416153319876,7,0.5841965320720277,0.053762494320805994,0.19162190965722323,0.039662169221550275,"[2.311079777480004, 2.406307996517213, 2.3420330278561163]",COMPLETE,2,2021-2022
1,2.3486291565508473,2026-08-10 05:38:33.631998,2026-08-10 05:38:53.900882,0 days 00:00:20.268884,1.0954440297461379,5,0.19165468813070394,0.12157277286199462,0.1675159496293046,0.0176659992471019,"[2.3294536266683816, 2.372086153063905, 2.3443476899202547]",COMPLETE,2,2021-2022
2,2.362057756465069,2026-08-10 05:38:53.903883,2026-08-10 05:39:43.751460,0 days 00:00:49.847577,1.0224782815350362,8,0.2531024905754316,0.033772502793670445,0.0675649661168369,0.02883408384195901,"[2.332745873336834, 2.40126398758176, 2.352163408476613]",COMPLETE,2,2021-2022
3,2.3558154766351787,2026-08-10 05:39:43.754467,2026-08-10 05:40:21.152374,0 days 00:00:37.397907,0.7609505427397749,5,9.38130600633775,0.051754511438458974,0.21293394330170354,0.031725199406051494,"[2.3336906111825693, 2.4006802785470676, 2.3330755401758987]",COMPLETE,2,2021-2022
4,2.3608358313316207,2026-08-10 05:40:21.155361,2026-08-10 05:42:26.670422,0 days 00:02:05.515061,1.4666304787720816,8,0.03681153836714184,0.011562472350028184,1.7701667950113096,0.03809991207274477,"[2.326768021871185, 2.4140214057169445, 2.3417180664067327]",COMPLETE,2,2021-2022
5,2.3299345094485955,2026-08-10 05:42:26.675407,2026-08-10 05:42:34.372271,0 days 00:00:07.696864,1.7699968417165322,6,0.02360780326110868,0.08021576394351584,0.001724388063552219,,,PRUNED,2,2021-2022
6,2.334185563398728,2026-08-10 05:42:34.377282,2026-08-10 05:43:05.211026,0 days 00:00:30.833744,1.2737326758699692,4,0.1444420764244803,0.010241165598979534,0.565035715316131,,,PRUNED,2,2021-2022
7,2.351921674826093,2026-08-10 05:43:05.214027,2026-08-10 05:43:19.687166,0 days 00:00:14.473139,0.9118067758461839,5,0.20554357964410871,0.1462939874228049,0.13395260349633056,0.031991425770376024,"[2.3183878271646092, 2.3949904575264003, 2.3423867397872713]",COMPLETE,2,2021-2022
8,2.354824476643269,2026-08-10 05:43:19.692164,2026-08-10 05:46:05.968992,0 days 00:02:46.276828,0.4296804440605597,6,12.84092909378076,0.011114695216957297,0.006870107497216659,0.034958706685054304,"[2.322227980528862, 2.4033138428922203, 2.3389316065087247]",COMPLETE,2,2021-2022
