number,value,params_architecture,params_batch_size,params_dropout,params_learning_rate,params_weight_decay,state,user_attrs_inner_best_epochs,user_attrs_inner_mae_std,user_attrs_inner_maes,outer_fold,outer_val_season
14,2.2603631019592285,128_64_32,32,0.3356949891438511,0.0003286128293552922,0.002994735759450737,PRUNED,,,,1,2020-2021
0,2.348915974299113,64_32,32,0.3726710067547227,0.00011683433831191501,0.0010416880893998764,COMPLETE,"[38, 41, 21]",0.025925387613735387,"[2.3562686443328857, 2.3763465881347656, 2.3141326904296875]",2,2021-2022
1,2.3551739851633706,128_64_32,64,0.23982563577273905,0.00018124966269448078,0.00012848716969583577,COMPLETE,"[29, 52, 16]",0.029199289241594262,"[2.3729238510131836, 2.3785884380340576, 2.314009666442871]",2,2021-2022
2,2.345649560292562,128_64,32,0.0798188703412337,0.0005603563784132954,2.0992002399672707e-05,COMPLETE,"[14, 5, 6]",0.02005473498140276,"[2.3360912799835205, 2.37355375289917, 2.327303647994995]",2,2021-2022
3,2.3469788233439126,128_64_32,128,0.11592228117033843,0.0007111980797839182,2.7365682530822933e-05,COMPLETE,"[35, 29, 8]",0.025013754653144486,"[2.3627207279205322, 2.3665428161621094, 2.3116729259490967]",2,2021-2022
4,2.3359874884287515,128_64_32,128,0.25987642876416855,0.0008450077678954893,3.4591920931377335e-05,COMPLETE,"[29, 29, 8]",0.029785500289217018,"[2.3397364616394043, 2.370447874069214, 2.2977781295776367]",2,2021-2022
5,2.3693597316741943,64_32,64,0.26941237719014793,0.00037807330055338983,4.625685564146171e-05,PRUNED,,,,2,2021-2022
6,2.3967134952545166,128_64,128,0.07719271552374543,0.00032989667818438516,0.000978120956256559,PRUNED,,,,2,2021-2022
7,2.3470733165740967,128_64_32,64,0.36823113735800705,0.00010338147221203906,5.41639047794964e-06,PRUNED,,,,2,2021-2022
8,2.393551826477051,64_32,128,0.21567628944640252,0.00010577053543464642,0.00026890780902886336,PRUNED,,,,2,2021-2022
9,2.3294721444447837,128_64_32,128,0.3981590108217773,0.002084435246891893,0.002440087781832958,COMPLETE,"[16, 6, 11]",0.03670717424046742,"[2.3101954460144043, 2.3808529376983643, 2.297368049621582]",2,2021-2022
10,2.3325157165527344,256_128_64,128,0.004242667796316851,0.002871757406986745,0.008324151836157452,COMPLETE,"[6, 5, 6]",0.03579017947325364,"[2.320303201675415, 2.3811607360839844, 2.2960832118988037]",2,2021-2022
11,2.3302730719248452,256_128_64,128,0.023366896217509814,0.0028031209347417134,0.007195819694821306,COMPLETE,"[6, 10, 6]",0.038950870508757875,"[2.3166615962982178, 2.3833043575286865, 2.290853261947632]",2,2021-2022
12,2.3209645748138428,256_128_64,128,0.16146528230052076,0.002954487686726783,0.0091703769685239,COMPLETE,"[6, 10, 6]",0.03627365825557512,"[2.3005692958831787, 2.3719260692596436, 2.290398359298706]",2,2021-2022
13,2.3235296408335366,256_128_64,128,0.1817787515430082,0.0014813789350276998,0.0024459953264158382,COMPLETE,"[7, 13, 6]",0.029204448153810642,"[2.3112640380859375, 2.363816738128662, 2.2955081462860107]",2,2021-2022
14,2.3275654315948486,256_128_64,128,0.16892054964361888,0.0013406265570819864,0.0020424075862311604,COMPLETE,"[7, 13, 6]",0.026657571575953515,"[2.3155972957611084, 2.364509344100952, 2.3025896549224854]",2,2021-2022
0,2.3910556634267173,128_64,128,0.1800319251121771,0.00045708537867114195,0.0043763198716860454,COMPLETE,"[13, 19, 16]",0.05908395590012523,"[2.3746371269226074, 2.328312873840332, 2.470216989517212]",3,2022-2023
1,2.3906466166178384,128_64,128,0.28404621998104546,0.00033662560158673383,5.020518172992405e-05,COMPLETE,"[16, 19, 16]",0.062276732942541865,"[2.3719937801361084, 2.325430154800415, 2.474515914916992]",3,2022-2023
2,2.364350954691569,64_32,32,0.3195119523164869,0.0028470396985691413,0.0008810309143492398,COMPLETE,"[6, 3, 5]",0.05482278497718784,"[2.360536575317383, 2.2991955280303955, 2.4333207607269287]",3,2022-2023
3,2.3557686805725098,128_64_32,64,0.25350895511935695,0.0025906295290757616,0.0026162135222552005,COMPLETE,"[5, 1, 8]",0.0410598016969271,"[2.3711318969726562, 2.299591302871704, 2.396582841873169]",3,2022-2023
4,2.3836452960968018,256_128_64,128,0.22172282436822718,0.00024810962894399296,4.2472320949880355e-06,COMPLETE,"[14, 19, 6]",0.06506674414976128,"[2.3775534629821777, 2.307175874710083, 2.4662065505981445]",3,2022-2023
5,2.375718593597412,128_64_32,128,0.24377888381109236,0.002061125454238001,0.00011169072988498377,PRUNED,,,,3,2022-2023
6,2.3785173892974854,128_64,32,0.3837006373505448,0.002987610874857567,2.3859122697480017e-05,PRUNED,,,,3,2022-2023
7,2.3730356693267822,256_128_64,128,0.06488468443588342,0.0010203339829786776,0.0005091037041881607,PRUNED,,,,3,2022-2023
