threshold,macro_f1,balanced_accuracy,exit_recall,presence_recall
0.6,0.8839507136291902,0.8740057082059682,0.7792207792207793,0.9687906371911573
0.61,0.8822686265141508,0.8733555131474507,0.7792207792207793,0.9674902470741222
0.62,0.880595084087969,0.8727053180889333,0.7792207792207793,0.9661898569570871
0.63,0.880595084087969,0.8727053180889333,0.7792207792207793,0.9661898569570871
0.64,0.8857985186702164,0.8817953827706754,0.7987012987012987,0.9648894668400521
0.65,0.8886476052599831,0.8876386942056642,0.8116883116883117,0.9635890767230169
0.66,0.8892243748065516,0.8902352523939,0.8181818181818182,0.9622886866059818
0.67,0.891448252688172,0.8934820056406532,0.8246753246753247,0.9622886866059818
0.68,0.891448252688172,0.8934820056406532,0.8246753246753247,0.9622886866059818
0.69,0.8897933533730638,0.8928318105821357,0.8246753246753247,0.9609882964889467
0.7,0.8848763532953052,0.890881225406583,0.8246753246753247,0.9570871261378413
0.71,0.8854554480019856,0.8934777835948187,0.8311688311688312,0.9557867360208062
0.72,0.8828104521625164,0.8947739516660194,0.8376623376623377,0.951885565669701
0.73,0.8796237426843383,0.8934735615489842,0.8376623376623377,0.9492847854356307
0.74,0.8754995339360958,0.8941195345616672,0.8441558441558441,0.9440832249674902
0.75,0.8754995339360958,0.8941195345616672,0.8441558441558441,0.9440832249674902
0.76,0.8708523226992884,0.8921689493861145,0.8441558441558441,0.9401820546163849
0.77,0.8735940170176786,0.8980122608211034,0.8571428571428571,0.9388816644993498
0.78,0.8726545253863134,0.8999586239508216,0.8636363636363636,0.9362808842652796
0.79,0.8681100782386229,0.8980080387752689,0.8636363636363636,0.9323797139141743
0.8,0.8612832369942196,0.8973536216709168,0.8701298701298701,0.9245773732119635
0.81,0.8569000465113608,0.8954030364953642,0.8701298701298701,0.9206762028608583
0.82,0.849710698111207,0.8921520612027765,0.8701298701298701,0.9141742522756827
0.83,0.8398780044209407,0.8876006957931535,0.8701298701298701,0.9050715214564369
0.84,0.8466437749224633,0.899937513721649,0.8961038961038961,0.9037711313394018
0.85,0.8350038731485177,0.8966823163832267,0.9025974025974026,0.8907672301690507
0.86,0.826392930655121,0.8947275091618394,0.9090909090909091,0.8803641092327699
0.87,0.8186284142267637,0.8908263388107341,0.9090909090909091,0.8725617685305592
0.88,0.8067075431537606,0.8869209464137943,0.9155844155844156,0.8582574772431729
0.89,0.800187281944913,0.8901592555688784,0.935064935064935,0.8452535760728218
0.9,0.7812542393381157,0.8797561346325975,0.935064935064935,0.8244473342002601
0.91,0.767564099479505,0.871953793930387,0.935064935064935,0.8088426527958388
0.92,0.750629754391883,0.8641472311823417,0.9415584415584416,0.7867360208062418
0.93,0.7262950859356088,0.849192744836438,0.9415584415584416,0.7568270481144344
0.94,0.7007133592736705,0.8348842315032172,0.948051948051948,0.7217165149544863
0.95,0.6632625175998945,0.8160159086687045,0.9675324675324676,0.6644993498049415
